@RELATION data/rfMusicGenre
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE features137 NUMERIC
@ATTRIBUTE features138 NUMERIC
@ATTRIBUTE class {sad,love,classical,beach}

@DATA
0.042235,0.075526,3.135900,0.120074,0.158750,0.367558,0.006568,0.067750,-22.865472,1.651646,-0.005378,0.151638,-0.011381,0.103647,0.201354,0.077126,0.027083,0.082752,0.091508,0.090019,-0.016343,0.005569,0.003344,0.159955,0.005348,0.014288,0.006612,0.094749,0.001593,0.004323,0.006821,0.024085,0.003291,0.058836,-0.000051,-0.000068,-0.000006,-0.000205,-0.000164,-0.000846,0.000007,-0.000159,-0.001937,-0.000498,-0.001793,-0.000717,-0.001841,-0.000186,-0.000232,0.000008,-0.000709,-0.001120,-0.000489,0.000959,-0.000165,0.000004,0.000012,-0.000384,0.000038,0.000024,0.000132,-0.000124,0.000007,0.000019,0.000001,-0.000011,0.000002,-0.000079,0.023527,0.059965,0.125175,0.034127,0.030398,0.251844,0.006152,0.056189,0.712427,0.476524,0.339764,0.311880,0.248568,0.241712,0.204801,0.207663,0.207893,0.204749,0.198735,0.188290,0.164784,0.004629,0.003733,0.091845,0.005282,0.010075,0.007323,0.071925,0.002361,0.005539,0.006010,0.026069,0.003522,0.021197,0.027119,0.074021,0.151872,0.038103,0.034978,0.295045,0.006241,0.065607,0.674737,0.508253,0.341373,0.308213,0.266515,0.265242,0.242524,0.235774,0.226228,0.221808,0.216067,0.213259,0.207335,0.005686,0.004060,0.070606,0.006781,0.011488,0.007709,0.086241,0.002746,0.007078,0.007686,0.028728,0.003676,0.022854,109.090909,0.106127,sad
0.046810,0.085038,3.140377,0.133879,0.177207,0.293357,0.006255,0.049660,-22.145439,2.010576,-0.272796,0.078776,0.140202,0.183430,-0.086891,0.063144,0.159674,0.120245,0.070495,0.070433,0.096124,0.012336,0.006372,0.106576,0.006018,0.017798,0.008636,0.084599,0.002268,0.005012,0.014072,0.024075,0.004355,0.041873,0.000026,-0.000029,0.000333,0.000024,0.000024,0.000036,0.000014,0.000033,0.001331,0.000010,-0.001954,-0.000134,0.001325,0.000883,0.000099,-0.000374,-0.000559,0.000152,0.000371,0.000346,-0.000795,0.000008,0.000005,-0.000081,0.000005,-0.000015,-0.000003,-0.000280,0.000021,0.000005,0.000019,0.000015,0.000002,-0.000080,0.018851,0.034409,0.123818,0.027858,0.019841,0.171008,0.003220,0.029831,0.705574,0.319897,0.386238,0.310855,0.268881,0.258935,0.253885,0.266480,0.241567,0.246577,0.258530,0.219900,0.189257,0.015457,0.008259,0.062990,0.005782,0.013436,0.009768,0.053918,0.003576,0.005191,0.016799,0.020094,0.005334,0.016043,0.018615,0.038674,0.164217,0.028305,0.025023,0.161511,0.003696,0.031721,0.792685,0.337960,0.369240,0.316336,0.278741,0.258271,0.278876,0.275590,0.241807,0.243123,0.234875,0.222251,0.198125,0.015359,0.008835,0.065518,0.006022,0.019573,0.011129,0.066444,0.004667,0.006157,0.018502,0.026338,0.006487,0.017797,150.000000,0.109201,sad
0.035349,0.037198,3.189311,0.106248,0.162355,0.191421,0.007382,0.046951,-24.104884,2.839189,-0.169236,0.353213,0.031281,0.045855,-0.149211,-0.151483,-0.159884,-0.030501,-0.007551,0.154586,-0.001624,0.018461,0.002372,0.034137,0.015850,0.019699,0.036183,0.041880,0.002471,0.014921,0.018083,0.039963,0.006900,0.034071,-0.000005,0.000055,0.000074,-0.000020,-0.000050,-0.000003,0.000007,-0.000006,0.002042,-0.000916,-0.000342,0.000834,-0.000481,-0.000291,0.000316,0.000147,-0.000085,-0.000336,-0.001203,-0.001110,-0.000499,0.000009,0.000001,0.000031,0.000262,0.000050,-0.000232,-0.000005,-0.000000,-0.000017,0.000003,-0.000026,-0.000001,0.000016,0.021813,0.018909,0.089557,0.033887,0.029196,0.186114,0.004766,0.041667,1.021274,0.535301,0.423941,0.366690,0.319829,0.306952,0.261328,0.233287,0.244913,0.257295,0.257154,0.225682,0.228829,0.017602,0.004169,0.022921,0.017933,0.018118,0.033874,0.030441,0.003962,0.017851,0.020556,0.024931,0.009445,0.012065,0.020130,0.016093,0.110778,0.034258,0.037821,0.173469,0.006043,0.042290,0.781109,0.443618,0.355689,0.344456,0.309626,0.272131,0.261300,0.260307,0.236621,0.246396,0.248712,0.228347,0.224026,0.018349,0.005305,0.019869,0.017369,0.019990,0.030563,0.025548,0.004339,0.016663,0.021149,0.021669,0.010114,0.011574,240.000000,0.093023,sad
0.084752,0.041402,3.050603,0.166834,0.179289,0.640401,0.009985,0.135336,-24.721485,2.156639,0.320550,0.090955,-0.154148,-0.139683,0.005397,-0.327306,-0.117518,-0.132348,-0.062925,0.158994,0.003210,0.014081,0.002449,0.024300,0.011052,0.021448,0.023608,0.042988,0.002119,0.009278,0.021011,0.023711,0.002344,0.024570,0.000045,-0.000036,-0.000208,0.000072,0.000060,0.000117,0.000013,0.000015,-0.001947,-0.000274,-0.001557,-0.000922,-0.000958,-0.000388,-0.000461,0.000163,0.000544,0.000960,-0.000567,-0.000172,0.000435,-0.000003,0.000015,-0.000105,-0.000056,-0.000007,0.000017,0.000004,0.000009,0.000006,-0.000031,0.000045,-0.000000,-0.000015,0.075491,0.050990,0.285992,0.068882,0.026994,0.599581,0.009089,0.141397,1.589679,0.759186,0.766535,0.460994,0.457057,0.368081,0.357311,0.318102,0.279033,0.288627,0.245255,0.245862,0.242292,0.020941,0.003391,0.026847,0.012127,0.020407,0.025807,0.060756,0.004117,0.011323,0.018707,0.021541,0.003118,0.017269,0.076666,0.053841,0.383089,0.072267,0.034156,0.637096,0.011231,0.151891,1.732720,0.871038,0.738786,0.473050,0.500607,0.391167,0.389808,0.342662,0.330229,0.303147,0.297214,0.295686,0.268411,0.024014,0.003667,0.027859,0.014363,0.023129,0.025789,0.058704,0.005244,0.014643,0.022212,0.026699,0.003890,0.017596,150.000000,0.090467,sad
0.056295,0.127337,3.150366,0.140941,0.166196,0.526587,0.004446,0.086953,-21.483989,1.151294,0.201617,0.539708,0.403429,0.361699,0.183499,0.205697,0.139915,0.198716,0.003185,0.057313,0.120959,0.004082,0.002078,0.066439,0.003067,0.018658,0.002614,0.129035,0.000977,0.002172,0.009787,0.051497,0.005358,0.047671,-0.000042,0.000334,0.000047,-0.000002,0.000051,-0.000537,0.000009,-0.000045,0.002443,-0.000288,-0.000032,0.000393,-0.000159,0.000014,-0.000624,-0.000415,0.000976,-0.000234,-0.000398,-0.000227,0.000316,-0.000045,0.000000,-0.000008,-0.000001,-0.000008,-0.000010,0.000357,-0.000002,-0.000000,-0.000047,-0.000089,0.000003,0.000051,0.018380,0.053662,0.103380,0.021720,0.017772,0.208766,0.002747,0.046774,0.503675,0.242355,0.296481,0.205700,0.238769,0.206959,0.212455,0.208316,0.202999,0.216954,0.199398,0.184148,0.175255,0.003579,0.001980,0.042139,0.002507,0.013913,0.002572,0.089450,0.001490,0.002416,0.008891,0.035194,0.007184,0.017432,0.019377,0.057044,0.114595,0.021950,0.021625,0.204599,0.003390,0.047425,0.613235,0.272886,0.298704,0.243022,0.251920,0.246405,0.235243,0.232460,0.241001,0.248605,0.228317,0.211699,0.215300,0.004377,0.002264,0.048410,0.003062,0.016511,0.003452,0.097755,0.001966,0.003038,0.008952,0.038822,0.007880,0.020682,133.333333,0.162190,sad
0.063165,0.078715,3.157892,0.147019,0.173354,0.522953,0.004728,0.099006,-21.948798,2.054710,0.194983,0.410005,0.116942,0.133989,0.044341,0.225264,0.074751,0.043514,-0.092145,-0.061739,-0.098044,0.020718,0.005356,0.048913,0.012182,0.024465,0.006640,0.053555,0.002053,0.003055,0.009960,0.049613,0.004268,0.027940,0.000100,0.000043,0.000490,0.000115,0.000059,0.000288,0.000018,0.000083,0.001592,-0.002229,0.000568,-0.000053,-0.001326,0.001083,-0.001106,-0.001152,-0.001094,-0.000698,0.000895,-0.000152,0.001024,-0.000071,0.000004,-0.000098,0.000013,-0.000017,0.000005,0.000082,0.000001,0.000007,-0.000014,-0.000148,-0.000004,-0.000015,0.033361,0.039180,0.101988,0.037763,0.022896,0.320558,0.002189,0.080370,0.796832,0.470589,0.412729,0.267860,0.288170,0.277024,0.266265,0.225284,0.229219,0.245674,0.240182,0.225589,0.206436,0.021633,0.005386,0.028583,0.013020,0.017460,0.006867,0.049097,0.003325,0.003437,0.007823,0.029419,0.004344,0.011549,0.036303,0.044969,0.139750,0.041569,0.026642,0.350684,0.002540,0.095802,0.882921,0.490230,0.410149,0.300452,0.315841,0.291555,0.297892,0.267087,0.266165,0.282248,0.278964,0.263126,0.232404,0.026990,0.006596,0.035040,0.017122,0.020457,0.008258,0.052729,0.004188,0.004632,0.010565,0.032715,0.005733,0.013261,150.000000,0.116162,sad
0.026942,0.084104,3.142277,0.131446,0.195767,0.204613,0.010164,0.039874,-24.619369,2.804921,0.121804,0.076469,-0.068749,0.138412,0.049695,0.148241,-0.175029,0.054093,-0.015622,0.090756,-0.014736,0.007200,0.000834,0.199957,0.010931,0.015587,0.007478,0.082572,0.000846,0.003218,0.009269,0.017943,0.002648,0.066371,0.000023,-0.000145,0.000167,-0.000072,-0.000117,-0.000011,0.000008,0.000042,-0.002976,0.003138,-0.001187,-0.001038,-0.000257,-0.000322,0.000172,-0.000749,-0.001281,-0.000195,0.000502,-0.000223,0.000074,0.000022,0.000001,-0.000590,0.000003,-0.000001,0.000013,0.000008,0.000001,0.000002,0.000058,0.000128,0.000018,-0.000122,0.028459,0.046834,0.119098,0.049726,0.029749,0.314578,0.010467,0.066650,1.259357,0.661697,0.508017,0.342823,0.294457,0.290267,0.248027,0.222545,0.235654,0.216213,0.237351,0.252075,0.272260,0.009384,0.001009,0.059139,0.012102,0.011895,0.009065,0.041498,0.001861,0.003889,0.006635,0.015751,0.003635,0.015486,0.034364,0.055069,0.158235,0.064423,0.042531,0.386359,0.011518,0.083753,1.521280,0.753308,0.471270,0.386822,0.325082,0.315652,0.273804,0.247446,0.253496,0.233859,0.241211,0.253919,0.254959,0.008804,0.001353,0.064171,0.014089,0.014929,0.008952,0.050381,0.002344,0.003930,0.006819,0.018267,0.004126,0.017914,200.000000,0.148235,sad
0.064734,0.077337,3.187010,0.153275,0.185325,0.407928,0.006190,0.081521,-22.260462,2.157535,-0.325942,-0.033012,-0.206902,-0.090152,-0.197485,-0.031302,0.196305,0.249375,0.219855,0.074960,-0.030997,0.013658,0.004337,0.056824,0.008598,0.010948,0.008097,0.041951,0.003189,0.011123,0.014357,0.034438,0.019590,0.028451,-0.000059,0.000013,0.000639,0.000045,0.000088,-0.000429,0.000007,-0.000095,-0.001894,0.001495,0.001835,-0.000481,-0.001179,0.000038,0.001173,0.001521,-0.000179,0.000429,0.000239,0.000272,-0.000468,0.000028,-0.000000,0.000025,-0.000009,0.000003,-0.000005,0.000012,0.000000,-0.000097,0.000003,0.000063,0.000165,0.000029,0.036880,0.035774,0.114991,0.038380,0.018765,0.324343,0.004216,0.078300,0.644799,0.447953,0.443258,0.339598,0.287599,0.294903,0.271984,0.249186,0.248524,0.270156,0.236036,0.217143,0.204682,0.015159,0.006540,0.069139,0.010487,0.008551,0.008474,0.031691,0.006806,0.011855,0.013681,0.024930,0.020879,0.017277,0.034735,0.043485,0.149452,0.034178,0.021017,0.304694,0.005356,0.078599,0.634626,0.438532,0.396664,0.335691,0.305858,0.303687,0.268882,0.268211,0.271829,0.260938,0.251174,0.239065,0.233459,0.014808,0.008275,0.082436,0.010510,0.010596,0.010937,0.035134,0.008971,0.014517,0.017189,0.025749,0.022464,0.021402,171.428571,0.099671,sad
0.039941,0.105288,3.154280,0.142967,0.182350,0.385736,0.009436,0.061785,-23.566853,1.673952,0.274551,0.009619,-0.009030,0.196793,0.138229,0.269367,-0.024406,0.181916,0.040576,0.158488,0.116599,0.003725,0.000888,0.174749,0.002689,0.010075,0.002431,0.155505,0.000776,0.003615,0.003306,0.016411,0.002073,0.073696,-0.000014,0.000020,0.000480,0.000004,0.000031,-0.000219,0.000034,0.000011,0.000514,0.000995,-0.000023,0.000197,-0.000169,-0.000764,0.000980,-0.000016,-0.000796,-0.000264,0.000307,-0.000583,0.000154,-0.000000,0.000002,-0.000197,0.000001,0.000008,-0.000001,0.000079,-0.000002,-0.000004,0.000001,0.000003,-0.000000,-0.000007,0.026697,0.089794,0.111848,0.038557,0.025881,0.317692,0.010348,0.063916,1.291975,0.675216,0.548482,0.396196,0.338178,0.295369,0.314229,0.285428,0.235678,0.221941,0.188561,0.225294,0.221088,0.006102,0.001340,0.082266,0.003874,0.008953,0.003425,0.078737,0.001306,0.005146,0.003867,0.017862,0.003447,0.019808,0.026181,0.092986,0.150780,0.039960,0.032741,0.292932,0.011256,0.063295,1.335414,0.654541,0.506884,0.400225,0.371403,0.320491,0.305977,0.295981,0.268689,0.255861,0.216513,0.255934,0.251004,0.007929,0.001716,0.076596,0.004807,0.011355,0.004058,0.093815,0.001629,0.005428,0.005374,0.023935,0.004163,0.022572,240.000000,0.099471,sad
0.048163,0.069618,3.192301,0.124603,0.172788,0.267481,0.007157,0.065951,-22.512139,2.293136,-0.294429,0.474861,-0.144242,0.137577,-0.064374,0.041099,-0.291174,0.004257,-0.020081,0.077125,0.011375,0.014909,0.006392,0.052031,0.019416,0.017878,0.023082,0.050662,0.002528,0.011699,0.012698,0.022877,0.002556,0.029089,-0.000050,-0.000083,0.000196,-0.000004,-0.000001,-0.000113,0.000005,-0.000014,-0.002868,-0.001204,0.001471,-0.000086,0.001200,-0.000662,0.000018,0.001676,0.001367,-0.001401,0.000699,-0.000971,0.000767,0.000059,0.000008,0.000250,0.000007,0.000063,-0.000012,-0.000125,-0.000001,-0.000041,-0.000013,-0.000012,-0.000002,0.000031,0.026020,0.029086,0.112581,0.034306,0.025450,0.233616,0.004474,0.050898,0.692451,0.501087,0.516464,0.340863,0.334933,0.321363,0.275602,0.268506,0.283178,0.302377,0.281975,0.271223,0.272289,0.016084,0.009264,0.040777,0.019065,0.018231,0.030042,0.037734,0.005029,0.016294,0.013395,0.022024,0.003732,0.011973,0.023992,0.030594,0.133398,0.032454,0.030293,0.209384,0.005594,0.048713,0.719298,0.449249,0.407841,0.326911,0.304923,0.298202,0.284299,0.274180,0.272875,0.261397,0.261853,0.266736,0.255238,0.016437,0.010278,0.040636,0.021234,0.020488,0.030305,0.039312,0.006874,0.019311,0.015346,0.022971,0.004457,0.013416,171.428571,0.083237,sad
0.031696,0.063540,3.179046,0.114195,0.170408,0.211998,0.008927,0.050186,-23.946723,2.703577,0.037993,0.007912,-0.277066,-0.025207,-0.352389,-0.136704,-0.154100,-0.029016,-0.001692,0.141486,0.009199,0.016836,0.001582,0.084089,0.010757,0.024904,0.019461,0.095910,0.001923,0.006369,0.016989,0.017733,0.006383,0.050650,0.000016,0.000008,0.000139,-0.000022,-0.000037,-0.000011,0.000022,0.000035,-0.001150,-0.000031,-0.000537,-0.000192,0.000530,-0.001109,0.000514,-0.000449,-0.001037,-0.000813,0.000046,0.001311,0.000690,-0.000080,-0.000002,-0.000009,0.000004,-0.000004,0.000216,0.000010,-0.000002,0.000004,-0.000067,-0.000004,-0.000009,0.000025,0.026688,0.046520,0.113745,0.041494,0.028491,0.280970,0.008336,0.061286,1.091909,0.644736,0.486774,0.348329,0.324773,0.343313,0.297830,0.259574,0.269867,0.259547,0.259974,0.238684,0.230711,0.015021,0.002515,0.043571,0.010612,0.022059,0.020810,0.045097,0.002976,0.006137,0.015445,0.018410,0.008284,0.013867,0.026421,0.055983,0.152854,0.041962,0.034917,0.289826,0.010360,0.065868,1.067245,0.672634,0.445712,0.360319,0.330982,0.335996,0.325430,0.278790,0.269982,0.282298,0.253623,0.244021,0.236277,0.013907,0.003270,0.046763,0.011996,0.021069,0.021711,0.048141,0.003597,0.006241,0.012683,0.019546,0.008669,0.015535,240.000000,0.088303,sad
0.049485,0.084644,3.209234,0.127109,0.164440,0.388741,0.005717,0.073739,-22.450780,1.865357,0.340605,0.541279,0.146676,0.345614,0.011737,0.097179,-0.060241,0.061084,0.192519,0.256064,0.070269,0.006618,0.001829,0.042015,0.006979,0.027442,0.007408,0.102904,0.003137,0.005985,0.009436,0.057584,0.001593,0.040757,-0.000029,0.000029,-0.000159,-0.000006,0.000056,-0.000368,0.000006,-0.000053,-0.003961,0.001441,0.000142,0.000521,0.000191,0.000627,0.000710,-0.000368,0.000354,0.000103,0.000567,-0.000290,0.000645,-0.000043,-0.000004,-0.000004,-0.000009,-0.000012,-0.000002,-0.000192,0.000000,-0.000002,0.000005,0.000268,-0.000001,-0.000004,0.025578,0.045942,0.075944,0.034461,0.026671,0.239341,0.003976,0.052809,0.710880,0.344005,0.355002,0.312278,0.226686,0.236777,0.223462,0.224410,0.217082,0.215366,0.212325,0.204062,0.195717,0.005914,0.001728,0.041129,0.008675,0.021364,0.009269,0.049001,0.005690,0.006488,0.012212,0.033871,0.001566,0.012700,0.021410,0.050802,0.091215,0.031577,0.034193,0.196851,0.004564,0.047721,0.690072,0.349629,0.321669,0.287675,0.253623,0.257731,0.254554,0.255779,0.230545,0.240106,0.237951,0.238662,0.233460,0.007357,0.002116,0.041776,0.010054,0.021354,0.011380,0.051926,0.007306,0.008060,0.015473,0.030626,0.002006,0.013362,120.000000,0.112994,sad
0.062802,0.098136,3.204609,0.147728,0.177710,0.440446,0.005154,0.083091,-21.743002,1.981843,-0.211481,0.176898,0.023194,-0.115098,0.001996,-0.025772,0.041869,0.055774,0.014622,-0.031024,0.102617,0.016619,0.006771,0.041889,0.013410,0.014995,0.009347,0.070537,0.005224,0.009596,0.013647,0.023757,0.009385,0.028675,0.000123,-0.000052,0.000033,0.000181,0.000086,0.001234,0.000001,0.000325,-0.000968,0.000051,0.001911,0.001580,0.000659,-0.000077,0.000447,0.000189,0.000038,-0.000792,-0.001286,0.000548,0.000659,-0.000007,-0.000003,0.000117,-0.000000,0.000010,0.000142,-0.000113,-0.000023,-0.000031,0.000004,0.000035,0.000001,0.000016,0.030084,0.056024,0.106572,0.031514,0.017197,0.309105,0.003590,0.063357,0.757775,0.360856,0.349140,0.286734,0.283379,0.249179,0.275548,0.237781,0.229676,0.232988,0.234408,0.212311,0.200162,0.014772,0.007747,0.027132,0.011782,0.012837,0.010662,0.042672,0.007642,0.010386,0.012976,0.023865,0.011451,0.010549,0.029025,0.064740,0.143325,0.029096,0.020797,0.285072,0.004114,0.061685,0.734818,0.337806,0.368685,0.299767,0.285394,0.262236,0.269332,0.251078,0.248109,0.249657,0.237801,0.226607,0.225762,0.016582,0.008449,0.031477,0.012106,0.016136,0.010895,0.048093,0.010268,0.010475,0.014945,0.030047,0.014218,0.012680,150.000000,0.102508,sad
0.030544,0.043365,3.118566,0.112379,0.169763,0.207475,0.006756,0.038457,-24.616779,2.383844,-0.043791,0.509713,0.148666,-0.013157,-0.162237,0.041850,0.009242,-0.148925,0.029284,0.068594,0.044673,0.010777,0.003026,0.130495,0.006147,0.031804,0.004455,0.104127,0.000983,0.005173,0.006352,0.028324,0.003765,0.055744,0.000082,-0.000002,0.000030,0.000138,0.000083,0.000956,0.000004,0.000224,-0.001111,-0.002338,-0.002426,-0.000221,0.000104,-0.000492,-0.001495,-0.001151,0.000045,-0.001139,-0.000817,-0.000533,-0.000103,-0.000101,-0.000004,-0.000147,0.000036,0.000103,-0.000008,-0.000099,0.000002,-0.000001,-0.000020,0.000129,-0.000017,0.000000,0.015454,0.046146,0.135421,0.025694,0.025741,0.160859,0.007445,0.029201,0.935033,0.527994,0.328833,0.298286,0.279426,0.217269,0.216401,0.269689,0.223947,0.248272,0.215147,0.237198,0.208721,0.013427,0.003463,0.053386,0.006181,0.022361,0.006319,0.055702,0.001173,0.005860,0.005626,0.020562,0.003830,0.016136,0.015495,0.046213,0.179624,0.029692,0.032948,0.169221,0.008637,0.031806,1.021016,0.558989,0.340660,0.316914,0.283091,0.221814,0.244220,0.278999,0.248831,0.248688,0.223305,0.236792,0.219990,0.011133,0.003577,0.049417,0.006591,0.018572,0.007113,0.048264,0.001422,0.006427,0.006269,0.022418,0.003053,0.014842,200.000000,0.079861,sad
0.044946,0.049718,3.198242,0.114569,0.161855,0.251766,0.007597,0.063944,-22.978167,2.112867,-0.443913,-0.012306,-0.224517,-0.017481,-0.272686,-0.187161,-0.108824,-0.203309,-0.164663,-0.106843,-0.078275,0.044985,0.009093,0.029019,0.008478,0.025078,0.013304,0.010515,0.005186,0.008602,0.007975,0.024914,0.011551,0.026918,-0.000003,0.000096,-0.000013,0.000086,0.000132,-0.000064,0.000010,-0.000047,0.000604,0.000125,-0.000238,0.000969,0.000745,-0.001116,0.001015,-0.000265,-0.002912,-0.000998,0.001526,0.000319,-0.000378,-0.000082,-0.000023,-0.000009,0.000024,0.000039,0.000000,-0.000005,-0.000002,0.000018,-0.000004,-0.000008,-0.000017,-0.000012,0.021766,0.026055,0.123136,0.032574,0.026581,0.229872,0.005627,0.044993,0.920358,0.466225,0.399577,0.331021,0.267582,0.227791,0.243902,0.265859,0.285573,0.294998,0.268145,0.253642,0.228810,0.037306,0.010771,0.023270,0.009850,0.019685,0.015034,0.011472,0.008830,0.012394,0.007631,0.026330,0.014034,0.011662,0.019232,0.023638,0.162007,0.032310,0.032659,0.200435,0.007415,0.043702,0.771485,0.383628,0.356300,0.304293,0.273354,0.243791,0.247880,0.264669,0.264514,0.249035,0.249493,0.247288,0.215732,0.030998,0.011732,0.019345,0.011569,0.019297,0.015906,0.014602,0.010236,0.013870,0.009297,0.027043,0.016784,0.012739,171.428571,0.085781,sad
